# This file contains particle radii used in calculating expected bond lengths and excluded zones
#
#
# Feel free to add to this list, but do not revise anything already present without putting some kind of explicit
#   warnings for people who have already started to use them.
#
#
#
# If you need to update something for your own reasons, look into the documentation for the class
#   bmpga.utils.element_utils.ParticleRadii for how to do this
#
#
# Various Atomic Radii are taken from http://www.crystalmaker.com/support/tutorials/crystalmaker/atomic-radii/index.html
#
# According to the CrystalMaker website which has collated this data:
#
# Atomic Radii: values are calculated from:
#
# E Clementi, D L Raimondi, W P Reinhardt (1963) J Chem Phys. 38:2686.
#
# Ionic Radii: these data are taken from an empirical system of unified atomic-ionic radii, which is
#   suitable for describing anion-cation contacts in ionic structures. The data were derived by the comparison of
#   bond lengths in over 1200 bond types in ionic, metallic, and covalent crystals and molecules by:
#
# J C Slater (1964) J Chem Phys 41:3199
#
# J C Slater (1965) Quantum Theory of Molecules and Solids. Symmetry and Bonds
#   in Crystals. Vol 2. McGraw-Hill, New York.
#
# Note that calculated data have been used for the following elements: He, Ne, Ar, Kr, Xe, At and Rn.
#  These data were taken from:
#
# E Clementi, D L Raimondi, W P Reinhardt (1963) J Chem Phys 38:2686
#
# Covalent Radii: Data given here are taken from WebElements, copyright Mark Winter, University of Sheffield, UK.
#
# Van-der-Waals Radii: Van der Waals radii are established from contact distances between non-bonding atoms in
# touching molecules or atoms. Most data here are from:
#
# A Bondi (1964) J Phys Chem 68:441
#
# "Crystal" Radii: These data are taken from Shannon & Prewitt's (S∓P) seminal work on "physical" ionic radii, as
#   determined from measurements of real structures.
#
# Note that in most cases S∓P quote different radii for the same element: the radii vary according to charge and
#   coordination number. We have chosen the most-common charges (oxidation states) and coordination numbers.
#   The details are given in the element text file after each data entry.
#
# R D Shannon and C T Prewitt (1969) Acta Cryst. B25:925-946
#
# R D Shannon (1976) Acta Cryst. A23:751-761
#
#
# NOTE:
# Non-atomic particles i.e. Lennard-Jones particles and Dummy Atoms are given at the end.
# Numbering for these starts at 200 and descriptive symbols should be used
#
Number,Symbol,Covalent,Atomic,Ionic,VdW,Crystal
1,H,0.37,0.53,0.25,1.2,0.1
2,He,0.32,0.31,0.31,1.4,
3,Li,1.34,1.67,1.45,1.82,0.9
4,Be,0.9,1.12,1.05,,0.41
5,B,0.82,0.87,0.85,,0.25
6,C,0.77,0.67,0.7,1.7,0.29
7,N,0.75,0.56,0.65,1.55,0.3
8,O,0.73,0.48,0.6,1.52,1.21
9,F,0.71,0.42,0.5,1.47,1.19
10,Ne,0.69,0.38,0.38,1.54,
11,Na,1.54,1.9,1.8,2.27,1.16
12,Mg,1.3,1.45,1.5,1.73,0.86
13,Al,1.18,1.18,1.25,,0.53
14,Si,1.11,1.11,1.1,2.1,0.4
15,P,1.06,0.98,1,1.8,0.31
16,S,1.02,0.88,1,1.8,0.43
17,Cl,0.99,0.79,1,1.75,1.67
18,Ar,0.97,0.71,0.71,1.88,
19,K,1.96,2.43,2.2,2.75,1.52
20,Ca,1.74,1.94,1.8,,1.14
21,Sc,1.44,1.84,1.6,,0.89
22,Ti,1.36,1.76,1.4,,0.75
23,V,1.25,1.71,1.35,,0.68
24,Cr,1.27,1.66,1.4,,0.76
25,Mn,1.39,1.61,1.4,,0.81
26,Fe,1.25,1.56,1.4,,0.69
27,Co,1.26,1.52,1.35,,0.54
28,Ni,1.21,1.49,1.35,1.63,0.7
29,Cu,1.38,1.45,1.35,1.4,0.71
30,Zn,1.31,1.42,1.35,1.39,0.74
31,Ga,1.26,1.36,1.3,1.87,0.76
32,Ge,1.22,1.25,1.25,,0.53
33,As,1.19,1.14,1.15,1.85,0.72
34,Se,1.16,1.03,1.15,1.9,0.56
35,Br,1.14,0.94,1.15,1.85,1.82
36,Kr,1.1,0.88,0.88,2.02,
37,Rb,2.11,2.65,2.35,,1.66
38,Sr,1.92,2.19,2,,1.32
39,Y,1.62,2.12,1.85,,1.04
40,Zr,1.48,2.06,1.55,,0.86
41,Nb,1.37,1.98,1.45,,0.78
42,Mo,1.45,1.9,1.45,,0.79
43,Tc,1.56,1.83,1.35,,0.79
44,Ru,1.26,1.78,1.3,,0.82
