,phi,psi,w
-414.2471483,-78.11690365777584,-62.21973265108306,152.30847399123286
-414.1803508,-77.98449119689197,-56.68800808771408,157.5755731756317
-413.7440677,-71.35142599498724,-65.39084375851051,170.33962220595714
-413.6856034,-71.35882359713459,-65.37829055648808,170.35098331768882
-413.5893463,-70.33468433776407,-65.4696133737186,169.70595000693257
-413.4553361,-81.86921715067716,-60.42575393266937,153.3498075609226
-413.4189999,-69.97594182497737,-66.22893336768657,169.90294049548555
-413.3790489,-69.969490621381,-66.23484022618538,169.90600246836797
-413.3573590,-69.97510373333907,-66.22903385214045,169.90462650547954
-413.2768623,-81.1386717055557,-59.65272685561046,152.18909059135478
-413.2111157,-76.69056488490882,-62.30757050740648,165.84940509040388
-413.1802510,-82.42560566641022,-61.31438332666221,162.994296765388
-413.1562647,-86.51124946817286,-57.32044434186217,161.41211966600648
-413.1221118,-86.50526490559653,-57.3074731097647,161.4136873984644
-413.0859856,-80.4996205181378,-56.37219125017844,161.63462906545183
-413.0412201,-85.12561081489137,-62.387321128547896,170.18834541098923
-413.0060035,-70.71541880339436,-65.07464691290211,169.64165495644195
-412.9304439,-82.63645640316362,-59.270705314230575,153.32878380572208
-412.9090751,-82.6342274467355,-59.24410576160657,153.32874180861677
-412.8846763,-77.27414220015748,-59.98766990360219,160.6122065601693
-412.8033524,-82.2703645663445,-61.08724844200721,155.56020602840013
-412.7578148,-78.44902039914095,-60.43325389739207,160.92264968667007
-412.7145052,-81.68204945943639,-58.966761998116986,156.25883848239351
-412.6940926,-82.56684524704472,-50.54959815793701,159.57685258518947
-412.6529666,-88.8283023646795,-57.42937470590738,160.8980784279673
-412.6055788,-88.36985588287106,-59.1082955484379,154.84140334694882
-412.5623760,-88.35901734963154,-59.133180567817995,154.84474657766918
-412.5350931,-83.33082318632853,-57.5177448980632,160.59015865160612
-412.5126946,-83.33103454446194,-57.50949642956692,160.58811921826737
-412.4802977,-86.41445809654113,-58.88104131029135,156.8068252209417
-412.4600533,-73.7834554814059,-50.16186579461414,163.20357459798012
-412.4382612,-89.85740002771934,-55.17572496496176,158.93439647486252
-412.3996586,-76.45375751062144,-59.5614011310235,157.9046485633806
-412.3787201,-77.09096597699487,-57.59401839954949,149.77827935460536
-412.3564964,-77.07694780027876,-57.61076085979025,149.77356770547505
-412.3303762,-76.91377387465418,-57.60457162004461,149.71543061370335
-412.2932495,-76.91939160957988,-57.60737881949333,149.72483791867987
-412.2356865,-80.40934464874492,-59.67896307216565,151.1160831468049
-412.2037022,-80.40728047127875,-59.69986506131635,151.11410058747424
-412.1592197,-81.56238701708888,-57.620346571309284,158.62379538572242
-412.1279129,-99.63128328608663,-58.05472824224777,166.0786930442432
-412.1024058,-96.24079009647136,-60.99339874300618,167.01595584220993
-412.0807084,-99.48376108789336,-57.69506325874639,166.23520184578845
-412.0358687,-75.71216771187255,-63.46943905029321,166.80007556055352
-412.0087335,-74.95086165477308,-60.38858466675231,166.29876374111566
-411.9742377,-79.25630449016275,-57.20432259975259,158.47806232251875
-411.9509531,-81.94954765462515,-57.279360937121915,158.08441361328974
-411.9297012,-81.96169195016093,-57.2851797030595,158.09628826848368
-411.9090371,-80.00583770489627,-59.81647074105734,150.86016852197275
-411.8822725,-80.00956950859134,-59.814478863783734,150.86254793831623
-411.8438536,-76.45388151759131,-59.42185125955467,163.1748604490202
-411.8230162,-83.98393099725547,-59.161701752918,156.3840355338116
-411.8021282,-83.98843344305794,-59.17048486885599,156.3771543069399
-411.7539460,-68.07206165060144,-64.76333293485916,159.6919171940625
-411.7236298,-102.21411852737857,-55.10695799918382,164.18156874685326
-411.7012273,-102.22187935372295,-55.11966815856322,164.17855331822724
-411.6797077,-75.71484021881653,-60.96416528038978,166.5964721143577
-411.6503640,-85.37192477727345,-60.618097900193796,156.27637383908896
-411.6226547,-82.33675387550758,-62.16078179846923,171.25005620298336
-411.5970676,-90.66634695854898,-62.99928344070383,158.486829514848
-411.5716377,-82.30390472674033,-59.968190571850926,155.53114053201452
-411.5454098,-90.6525763369956,-62.98798268467505,158.47788507409777
-411.5248634,-90.63913581063024,-62.95456638417377,158.46313362097257
-411.5045400,-77.7541848259939,-57.31548016739122,156.71026950166154
-411.4769321,-73.67173300306176,-76.472147756456,161.18549219950728
-411.4567002,-73.68682570741888,-76.47237525983766,161.1996245851568
-411.4352539,-73.69038513250318,-76.4674630783095,161.19610513120386
-411.4126187,-88.93356020607462,-53.08629116009985,156.70300125928216
-411.3827028,-72.41099237581652,-63.725135353050646,161.7389581583433
-411.3522439,-72.6729679441582,-64.1762803432252,161.91739156403818
-411.3289353,-72.68034129575494,-64.16601343868822,161.9235212969182
-411.3080589,-72.66285165290377,-64.18034140881052,161.90613945983586
-411.2610063,-94.76280912939752,-61.18844622625232,165.23116822977727
-411.2384248,-99.27798893898334,-57.52759094436119,165.0828615784836
-411.2120192,-81.80831253484871,-69.41567571544154,156.67741687176814
-411.1839309,-82.39941874857732,-66.13530405961997,158.64994581153545
-411.1588097,-82.4816426531089,-59.752749186769016,155.36737119294972
-411.1378936,-90.39143447539541,-52.58371750867252,156.41401641781934
-411.1082024,-76.93524023546254,-62.464773933509235,151.96960964112844
-411.0860963,-80.92528502246127,-58.061384571115006,152.87509837541086
-411.0639322,-88.82776612871244,-64.7524029576414,161.0309744455343
-411.0387915,-88.6157486541281,-59.191673322339774,154.16201369234255
-411.0184503,-76.96485821491767,-59.58064191733129,149.10458693748262
-410.9969498,-76.97082179602451,-59.56952736111581,149.10406415721536
-410.9757794,-77.17733796016729,-57.262530111322626,149.12682426542807
-410.9415697,-77.18015988794609,-57.26460062395188,149.12334438675578
-410.9176900,-72.16580654690806,-64.46567820031972,161.9591317356295
-410.8976012,-72.16486187284644,-64.45855927320787,161.9556974836374
-410.8722004,-80.96579741438109,-58.63652963073691,151.38357337132203
-410.8264845,-66.00444296924746,-65.20924216114507,156.02651768565764
-410.7974286,-71.52292549597729,-65.56089427949826,171.0576288808965
-410.7473512,-81.91402554775894,-58.612177333460444,158.50175185495834
-410.7205243,-75.16621179305872,-60.45073461375788,167.8480333812358
-410.6989556,-81.43613702551959,-57.1360212809018,153.7824144608175
-410.6786566,-91.07299956925164,-63.15080398691511,160.4401178172524
-410.6563563,-90.4087034550071,-63.26083577010929,159.73189268508392
-410.6358598,-85.27531604930687,-59.63564063900927,160.09440424513414
-410.6089870,-79.42391341031161,-62.869296640740636,153.85174135433897
-410.5850924,-74.40041015932766,-61.03508342113192,168.25805114903497
-410.5634758,-74.39877766238281,-60.98874472101118,167.4188540560737
-410.5393322,-78.48097241080855,-58.75896867745582,150.86360356906323
-410.5143605,-81.73833850339443,-56.8898223214717,151.338515972391
-410.4943316,-83.54244970679346,-60.205862250689826,158.33300810982
-410.4703716,-83.55108994790149,-60.17269098136012,158.3423809339741
-410.4444402,-82.70161844115358,-58.184867513983825,153.4094287563401
-410.4213416,-83.426696349878,-64.30767439811184,168.47151212318244
-410.4006833,-82.5375767974826,-56.81732892545995,156.13991478799963
-410.3798406,-81.53470073954077,-56.53650842346886,155.89769156279232
-410.3582552,-83.85836397771484,-60.263401318375514,160.08571811370035
-410.3346497,-81.26926184867351,-56.96165440145459,155.2412248211821
-410.3142069,-72.85259971129548,-76.77359786319255,160.61812359427043
-410.2823674,-79.51170790898692,-60.13400004165695,162.62089653367198
-410.2445953,-88.92300802289793,-61.58703834770862,162.0032424549502
-410.2227750,-75.30690557728504,-61.009608835762904,165.862989224527
-410.1967196,-96.86136336330426,-58.476622078624615,164.13024069308693
-410.1660610,-88.72315271944825,-60.78566043394711,167.50282114608186
-410.1429252,-84.99188157117852,-66.87119886024698,172.6589178535141
-410.1226617,-77.66021225259912,-51.50062334865182,163.8104565889718
-410.0917841,-81.7252718092702,-60.99816226901454,154.86585460520524
-410.0714417,-86.0902260139873,-65.68048537112705,153.20902715211395
-410.0452743,-77.75269671356088,-55.47887351149725,150.7073857896755
-410.0231674,-70.32342677781398,-64.80527976012489,170.46385140307046
-409.9978802,-89.23082917679912,-53.35917527115475,157.44464693224964
-409.9703869,-93.21555787244783,-60.71383800606955,159.73901848507887
-409.9503612,-77.71036698468164,-57.89195824772246,150.04442696155752
-409.9262251,-77.71497057910867,-57.895089081744054,150.05176992428528
-409.9048990,-74.97781271341616,-74.00615304782534,156.24078334723743
-409.8845406,-86.33974120166849,-61.60883140314857,159.69596301290736
-409.8625838,-86.15806017780636,-61.64954991360618,159.66357137808043
-409.8411530,-82.84337820857762,-65.8705013216704,152.44840933841803
-409.8100160,-83.64749043547144,-63.90119764110278,170.19721974059692
-409.7808077,-83.18482741784246,-59.6004151748726,157.98681713968065
-409.7543247,-81.77345770767782,-57.55782806124759,156.31187679588086
-409.7310413,-83.20421597449881,-59.58979216558772,158.00623213802962
-409.7104985,-80.01541114421335,-65.66428401257805,171.8933230925138
-409.6816825,-98.62938506544684,-77.35828651970942,160.11338243624735
-409.6493829,-81.95161761236679,-54.99461040574507,152.1749565862826
-409.6273281,-81.96138014484897,-54.98635664819842,152.1793188801515
-409.6016928,-87.10822568756564,-60.23171827400165,165.35025456249318
-409.5813209,-87.10963938342776,-60.24099648091745,165.35367137998378
-409.5591327,-72.62127739688886,-64.17621813283147,158.6984213178503
-409.5371550,-72.59232491733259,-64.16945668041481,158.6550270306877
-409.5064690,-77.74487966113686,-65.83679767518603,172.66676849027894
-409.4725908,-87.72318184999905,-60.3200714484963,161.36495600261424
-409.4213713,-92.93759572291673,-63.98869500533286,167.63378293520006
-409.3950782,-90.3386971872724,-68.21835996541722,162.09295331769792
-409.3729302,-87.21860178584436,-64.12858375869696,174.76428454596564
-409.3506603,-77.38318338230206,-64.77863868139978,170.19064557241217
-409.3280568,-84.89623498783983,-63.21203683277545,156.53682426574198
-409.3075088,-87.74966069157587,-60.25965258458847,165.34920877367824
-409.2857107,-73.62576992261806,-56.10770146021737,163.84719474704178
-409.2646049,-65.01643414677429,-61.293473114795425,142.45108112287443
-409.2385411,-65.0080012626665,-61.30760938456343,142.45320280029372
-409.2167194,-65.0076420252622,-61.31565528504266,142.4399697983052
-409.1944362,-64.99722469640858,-61.31354041585739,142.43343385546652
-409.1638863,-72.1788966026664,-64.6117754736482,161.79636008407792
-409.1423338,-68.74197090695907,-65.49472510083159,159.02611404779432
-409.1176381,-79.91943201613003,-58.26687464736041,149.33330585562342
-409.0877530,-104.37713038890135,-73.48855237748661,164.06091019680926
-409.0633651,-79.63420331550034,-57.459624771072676,155.77482305209662
-409.0433049,-81.7911582075719,-65.95516724496228,170.49970524605754
-409.0227777,-95.10406844945804,-55.51865399684668,154.80812130054798
-408.9928289,-72.70431746344096,-76.31152467243243,160.59083108369117
-408.9699641,-86.28852462608774,-54.1549358423458,156.73856661164243
-408.9492868,-96.58577538235525,-75.19968420873775,159.21561469769443
-408.9158235,-81.95504058740941,-70.08443952056084,156.29240180036376
-408.8941279,-77.47908064538834,-61.57666662136084,152.09431413550016
-408.8626830,-68.76039029819437,-66.1437877761264,158.7063744349237
-408.8358467,-76.86361138513482,-75.56843908540196,156.56375150062902
-408.8155117,-66.67170250785219,-60.015997874654325,152.1181155176855
-408.7952563,-86.89116769336418,-65.32811412869972,152.40325465043483
-408.7722773,-85.45879883394056,-63.47650399776001,169.37491443351354
-408.7522645,-78.6233693036135,-61.432677444770405,163.95879658150287
-408.7266119,-84.97851411786876,-64.07563147888808,157.83970993432408
-408.7036537,-92.40635137501111,-59.65669965669184,160.42218823025382
-408.6798293,-81.59371661965372,-57.445294417197445,158.74031888111273
-408.6572796,-82.68142217232139,-69.12043477879355,155.3038091707897
-408.6367399,-82.68247771369586,-69.10596747622375,155.30409579208614
-408.6158274,-78.72306615958979,-64.68523665733818,174.21804086485724
-408.5917037,-101.95721155176972,-75.34954878007262,160.73199712384542
-408.5547646,-75.13562624702732,-58.23112536091961,147.1693350992414
-408.5290022,-80.40828693793472,-57.02132677464851,150.19141902215648
-408.5068938,-83.48104297171881,-59.48083587164078,159.69836875757719
-408.4868581,-88.45310983276329,-53.64524718820668,156.16140808875406
-408.4631289,-65.58206897057349,-64.03885931415125,157.32808352958597
